"","Station","Cluster_ID","CV (< 0.375)","Uncertainty AVG","Environment Type","Latitude","Longitude","Zone","Region","Northing","Easting","Altitude (m)","Start Date","End Date","UK-AIR ID"
"38","London.Harlington",4,0,0,"Industrial Urban",51.48879,-0.441614,"Greater London Urban Area","Greater London Urban Area",177800.17,508295.2,35,"01/01/2004","12/31/15","UKA00472"
"39","London.Marylebone.Road",4,0,0,"Traffic Urban",51.52253,-0.154611,"Greater London Urban Area","Greater London Urban Area",182015.36,528125.76,35,"01/01/1997","01/09/2019","UKA00315"
"40","London.N..Kensington",4,0,0,"Background Urban",51.52105,-0.213492,"Greater London Urban Area","Greater London Urban Area",181749.4,524045.04,5,"04/01/1996","11/13/18","UKA00253"
"41","London.Teddington.Bushy.Park",4,0,0,"Background Urban",51.425286,-0.345606,"Greater London Urban Area","Greater London Urban Area",170884.42,515120.12,11,"08/09/2013",NA,"UKA00572"
"42","London.Westminster",4,0,0,"Background Urban",51.49467,-0.131931,"Greater London Urban Area","Greater London Urban Area",178957.15,529778.2,5,"7/17/01","8/14/18","UKA00435"
"43","Lough.Navar",3,0,0,"Background Rural",54.43951,-7.900328,"Northern Ireland","Northern Ireland",520945.71,17627.56,130,"04/02/1987","7/18/18","UKA00166"
"44","Manchester.Piccadilly",2,0,0,"Background Urban",53.48152,-2.237881,"Greater Manchester Urban Area","North West & Merseyside",398337.36,384310.87,57,"12/18/95","3/22/12","UKA00248"
"45","Middlesbrough",3,0,0,"Industrial Urban",54.569297,-1.220874,"Teesside Urban Area","North East",519620.54,450470.86,10,"01/01/1993","12/31/12","UKA00220"
"46","Narberth",1,0,0,"Background Rural",51.781784,-4.691462,"South Wales","South Wales",212663.33,214439.86,160,"1/20/97","06/07/2018","UKA00323"
"47","Newcastle.Centre",3,0,0,"Background Urban",54.97825,-1.610528,"Tyneside","North East",564918.47,425026.15,45,"03/08/1992","8/15/12","UKA00213"
"48","Newport",1,0,0,"Background Urban",51.601203,-2.977281,"South Wales","South Wales",189604.01,332410.02,24,"01/01/1999","8/15/17","UKA00380"
"49","Northampton.Spring.Park",4,0,0,"Background Urban",52.272257,-0.916605,"East Midlands","East Midlands",264341.81,474021.63,88,"04/01/2017",NA,"UKA00632"
"50","Norwich.Lakenfields",4,0,0,"Background Urban",52.614193,1.301976,"Eastern","Eastern",306944.08,623638.3,36,"09/01/2009","4/29/19","UKA00549"
"51","Nottingham.Centre",2,0,0,"Background Urban",52.95473,-1.146447,"Nottingham Urban Area","East Midlands",340046.74,457440.49,41,"09/02/1996","5/14/19","UKA00274"
"52","Oxford.St.Ebbes",4,0,0,"Background Urban",51.744806,-1.260278,"South East","South East",205381.56,451168.47,58,"01/01/2008","6/26/19","UKA00518"
"53","Plymouth.Centre",1,0,0,"Background Urban",50.37167,-4.142361,"South West","South West",54613.65,247748.49,18,"9/29/97","10/01/2012","UKA00360"
"54","Port.Talbot.Margam",1,0,0,"Industrial Urban",51.58395,-3.770822,"Swansea Urban Area","South Wales",188718.68,277405.85,5,"01/01/2007","12/31/13","UKA00501"
"55","Portsmouth",4,0,0,"Background Urban",50.82881,-1.068583,"Portsmouth Urban Area","South East",103665.77,465695.06,5,"01/01/2001","6/25/19","UKA00421"
"56","Preston",2,0,0,"Background Urban",53.76559,-2.680353,"Preston Urban Area","North West & Merseyside",430130.62,355249.54,40,"06/06/2000","6/24/19","UKA00408"
"57","Reading.New.Town",4,0,0,"Background Urban",51.45309,-0.944067,"Reading/Wokingham Urban Area","South East",173207.18,473468.26,58,"10/17/03","6/27/19","UKA00462"
"58","Rochester.Stoke",4,0,0,"Background Rural",51.45617,0.634889,"South East","South East",176313.73,583157.86,14,"1/26/96","08/02/2018","UKA00251"
"59","Salford.Eccles",2,0,0,"Background Urban",53.48481,-2.334139,"Greater Manchester Urban Area","North West & Merseyside",398729.04,377924.61,30,"3/20/97","07/11/2018","UKA00339"
"60","Saltash.Callington.Road",1,0,0,"Traffic Urban",50.411463,-4.227678,"South West","South West",59216.12,241814.58,65,"01/01/2013","9/26/18","UKA00569"
"61","Sandy.Roadside",4,0,0,"Traffic Urban",52.132417,-0.300306,"Eastern","Eastern",249596.87,516436.44,22,"7/28/08","02/07/2019","UKA00533"
"62","Sheffield.Barnsley.Road",2,0,0,"Traffic Urban",53.40495,-1.455815,"Sheffield Urban Area","Yorkshire & Humberside",389930.1,436276.16,82,"08/01/2016",NA,"UKA00622"
"63","Sheffield.Devonshire.Green",2,0,0,"Background Urban",53.378622,-1.478096,"Sheffield Urban Area","Yorkshire & Humberside",386990,434816,89,"10/31/13","5/17/19","UKA00575"
"64","Southampton.Centre",4,0,0,"Background Urban",50.90814,-1.395778,"Southampton Urban Area","South East",112248.19,442579.15,7,"01/04/1994","11/07/2019","UKA00235"
"65","Southend.on.Sea",4,0,0,"Background Urban",51.544206,0.678408,"Southend Urban Area","Eastern",186212.09,585822.56,37,"7/24/00","9/23/19","UKA00409"
"66","Stanford.le.Hope.Roadside",4,0,0,"Traffic Urban",51.518167,0.439548,"Eastern","Eastern",182737.17,569358.49,18,"1/22/08","2/26/19","UKA00525"
"67","Stockton.on.Tees.Eaglescliffe",3,0,0,"Traffic Urban",54.516667,-1.358547,"North East","North East",513674.44,441623.38,29,"09/01/2008",NA,"UKA00535"
"68","Stoke.on.Trent.Centre",2,0,0,"Background Urban",53.02821,-2.175133,"The Potteries","West Midlands",347894.69,388351.33,172,"03/11/1997","05/01/2019","UKA00337"
"69","Sunderland.Silksworth",3,0,0,"Background Urban",54.88361,-1.406878,"North East","North East",554478.51,438149.81,110,"12/09/2004","9/26/19","UKA00484"
"70","Swansea.Roadside",1,0,0,"Traffic Urban",51.632696,-3.947374,"Swansea Urban Area","South Wales",194450.54,265319,61,"9/20/06","11/16/11","UKA00497"
"71","Warrington",2,0,0,"Industrial Urban",53.38928,-2.615358,"North West & Merseyside","North West & Merseyside",388225.53,359171.9,11,"10/21/08","11/21/18","UKA00538"
"72","Wigan.Centre",2,0,0,"Background Urban",53.54914,-2.638139,"North West & Merseyside","North West & Merseyside",406023.56,357816.06,45,"10/08/2004","6/20/19","UKA00482"
"73","Wirral.Tranmere",2,0,0,"Background Urban",53.37287,-3.022722,"Birkenhead Urban Area","North West & Merseyside",386710.96,332053.93,38,"5/14/00","8/19/19","UKA00406"
"74","Worthing.A27.Roadside",4,0,0,"Traffic Urban",50.832947,-0.379916,"Brighton/Worthing/Littlehampton","South East",104962.96,514185.01,14,"10/01/2016",NA,"UKA00628"
"75","Wrexham",2,0,0,"Traffic Urban",53.04222,-3.002778,"North Wales","North Wales",349909.25,332865.08,70,"03/01/2002","9/30/18","UKA00440"
"76","York.Bootham",2,0,0,"Background Urban",53.967513,-1.086514,"Yorkshire & Humberside","Yorkshire & Humberside",452767.99,460023.83,15,"01/01/2008","02/10/2009","UKA00523"
"77","York.Fishergate",2,0,0,"Traffic Urban",53.951889,-1.075861,"Yorkshire & Humberside","Yorkshire & Humberside",451038.75,460745.34,16,"01/01/2008","10/10/2018","UKA00524"
